code_INE,move,type,name,source,value
41,In-migration,Internal migration,Sevilla,EVR,1.009
42,Out-migration,International migration,Soria,EVR,0.6559
42,Out-migration,Internal migration,Soria,EVR,1.0062
42,In-migration,International migration,Soria,EVR,0.7498
42,In-migration,Internal migration,Soria,EVR,1.0103
43,Out-migration,International migration,Tarragona,EVR,0.7798
43,Out-migration,Internal migration,Tarragona,EVR,0.9996
43,In-migration,International migration,Tarragona,EVR,0.7247
43,In-migration,Internal migration,Tarragona,EVR,1.0106
44,Out-migration,International migration,Teruel,EVR,0.6248
44,Out-migration,Internal migration,Teruel,EVR,0.9988
44,In-migration,International migration,Teruel,EVR,0.8395
44,In-migration,Internal migration,Teruel,EVR,0.9962
45,Out-migration,International migration,Toledo,EVR,0.5523
45,Out-migration,Internal migration,Toledo,EVR,1.0032
45,In-migration,International migration,Toledo,EVR,0.6879
45,In-migration,Internal migration,Toledo,EVR,0.9901
46,Out-migration,International migration,Valencia,EVR,0.6873
46,Out-migration,Internal migration,Valencia,EVR,1.0036
46,In-migration,International migration,Valencia,EVR,0.7607
46,In-migration,Internal migration,Valencia,EVR,1
47,Out-migration,International migration,Valladolid,EVR,0.5916
47,Out-migration,Internal migration,Valladolid,EVR,0.9872
47,In-migration,International migration,Valladolid,EVR,0.7877
47,In-migration,Internal migration,Valladolid,EVR,1.0034
48,Out-migration,International migration,Bizkaia,EVR,0.6367
48,Out-migration,Internal migration,Bizkaia,EVR,1.0074
48,In-migration,International migration,Bizkaia,EVR,0.8361
48,In-migration,Internal migration,Bizkaia,EVR,1.002
49,Out-migration,International migration,Zamora,EVR,0.5077
49,Out-migration,Internal migration,Zamora,EVR,1.0024
49,In-migration,International migration,Zamora,EVR,0.6568
49,In-migration,Internal migration,Zamora,EVR,0.9939
50,Out-migration,International migration,Zaragoza,EVR,1.6725
50,Out-migration,Internal migration,Zaragoza,EVR,0.99
50,In-migration,International migration,Zaragoza,EVR,0.8154
50,In-migration,Internal migration,Zaragoza,EVR,1.0082
1,Out-migration,International migration,Álava,EM,0.5607
1,Out-migration,Internal migration,Álava,EM,0.7498
1,In-migration,International migration,Álava,EM,0.6093
1,In-migration,Internal migration,Álava,EM,0.7056
2,Out-migration,International migration,Albacete,EM,0.5963
2,Out-migration,Internal migration,Albacete,EM,0.7514
2,In-migration,International migration,Albacete,EM,0.5504
2,In-migration,Internal migration,Albacete,EM,0.755
3,Out-migration,International migration,Alicante,EM,0.6957
3,Out-migration,Internal migration,Alicante,EM,0.6596
3,In-migration,International migration,Alicante,EM,0.6376
3,In-migration,Internal migration,Alicante,EM,0.6959
4,Out-migration,International migration,Almería,EM,0.6543
4,Out-migration,Internal migration,Almería,EM,0.7803
4,In-migration,International migration,Almería,EM,0.5661
4,In-migration,Internal migration,Almería,EM,0.7365
5,Out-migration,International migration,Ávila,EM,0.3597
5,Out-migration,Internal migration,Ávila,EM,0.7309
5,In-migration,International migration,Ávila,EM,0.4627
5,In-migration,Internal migration,Ávila,EM,0.8448
6,Out-migration,International migration,Badajoz,EM,0.4701
6,Out-migration,Internal migration,Badajoz,EM,0.7872
6,In-migration,International migration,Badajoz,EM,0.5701
6,In-migration,Internal migration,Badajoz,EM,0.7965
7,Out-migration,International migration,Baleares,EM,0.4283
7,Out-migration,Internal migration,Baleares,EM,0.7579
7,In-migration,International migration,Baleares,EM,0.5597
7,In-migration,Internal migration,Baleares,EM,0.6984
8,Out-migration,International migration,Barcelona,EM,0.4819
8,Out-migration,Internal migration,Barcelona,EM,0.7541
8,In-migration,International migration,Barcelona,EM,0.5803
8,In-migration,Internal migration,Barcelona,EM,0.6986
9,Out-migration,International migration,Burgos,EM,0.5652
9,Out-migration,Internal migration,Burgos,EM,0.7192
9,In-migration,International migration,Burgos,EM,0.5917
9,In-migration,Internal migration,Burgos,EM,0.7393
10,Out-migration,International migration,Cáceres,EM,0.4629
10,Out-migration,Internal migration,Cáceres,EM,0.811
10,In-migration,International migration,Cáceres,EM,0.4904
10,In-migration,Internal migration,Cáceres,EM,0.8136
11,Out-migration,International migration,Cádiz,EM,0.5274
11,Out-migration,Internal migration,Cádiz,EM,0.752
11,In-migration,International migration,Cádiz,EM,0.6182
11,In-migration,Internal migration,Cádiz,EM,0.8134
12,Out-migration,International migration,Castellón,EM,0.6032
12,Out-migration,Internal migration,Castellón,EM,0.7027
12,In-migration,International migration,Castellón,EM,0.5696
12,In-migration,Internal migration,Castellón,EM,0.7331
13,Out-migration,International migration,Ciudad Real,EM,0.5859
13,Out-migration,Internal migration,Ciudad Real,EM,0.7272
13,In-migration,International migration,Ciudad Real,EM,0.5633
13,In-migration,Internal migration,Ciudad Real,EM,0.7626
14,Out-migration,International migration,Córdoba,EM,0.4632
14,Out-migration,Internal migration,Córdoba,EM,0.8244
14,In-migration,International migration,Córdoba,EM,0.4809
14,In-migration,Internal migration,Córdoba,EM,0.8342
15,Out-migration,International migration,A Coruña,EM,0.5023
15,Out-migration,Internal migration,A Coruña,EM,0.7314
15,In-migration,International migration,A Coruña,EM,0.6746
15,In-migration,Internal migration,A Coruña,EM,0.7685
16,Out-migration,International migration,Cuenca,EM,0.4549
16,Out-migration,Internal migration,Cuenca,EM,0.714
16,In-migration,International migration,Cuenca,EM,0.5111
16,In-migration,Internal migration,Cuenca,EM,0.7762
17,Out-migration,International migration,Girona,EM,0.5649
17,Out-migration,Internal migration,Girona,EM,0.7147
17,In-migration,International migration,Girona,EM,0.5383
17,In-migration,Internal migration,Girona,EM,0.7716
18,Out-migration,International migration,Granada,EM,0.4284
18,Out-migration,Internal migration,Granada,EM,0.7756
18,In-migration,International migration,Granada,EM,0.5718
18,In-migration,Internal migration,Granada,EM,0.7836
19,Out-migration,International migration,Guadalajara,EM,0.6267
19,Out-migration,Internal migration,Guadalajara,EM,0.7198
19,In-migration,International migration,Guadalajara,EM,0.5636
19,In-migration,Internal migration,Guadalajara,EM,0.7254
20,Out-migration,International migration,Gipuzkoa,EM,0.5905
20,Out-migration,Internal migration,Gipuzkoa,EM,0.7307
20,In-migration,International migration,Gipuzkoa,EM,0.6038
20,In-migration,Internal migration,Gipuzkoa,EM,0.6689
21,Out-migration,International migration,Huelva,EM,0.3407
21,Out-migration,Internal migration,Huelva,EM,0.7963
21,In-migration,International migration,Huelva,EM,0.4717
21,In-migration,Internal migration,Huelva,EM,0.8125
22,Out-migration,International migration,Huesca,EM,0.5305
22,Out-migration,Internal migration,Huesca,EM,0.7071
22,In-migration,International migration,Huesca,EM,0.5564
22,In-migration,Internal migration,Huesca,EM,0.7871
23,Out-migration,International migration,Jaén,EM,0.4558
23,Out-migration,Internal migration,Jaén,EM,0.8205
23,In-migration,International migration,Jaén,EM,0.6088
23,In-migration,Internal migration,Jaén,EM,0.8314
24,Out-migration,International migration,León,EM,0.4549
24,Out-migration,Internal migration,León,EM,0.7663
24,In-migration,International migration,León,EM,0.5476
24,In-migration,Internal migration,León,EM,0.8138
25,Out-migration,International migration,Lleida,EM,0.5787
25,Out-migration,Internal migration,Lleida,EM,0.7316
25,In-migration,International migration,Lleida,EM,0.5614
25,In-migration,Internal migration,Lleida,EM,0.736
26,Out-migration,International migration,La Rioja,EM,0.5999
26,Out-migration,Internal migration,La Rioja,EM,0.6979
26,In-migration,International migration,La Rioja,EM,0.5848
26,In-migration,Internal migration,La Rioja,EM,0.7377
27,Out-migration,International migration,Lugo,EM,0.5081
27,Out-migration,Internal migration,Lugo,EM,0.7413
27,In-migration,International migration,Lugo,EM,0.6115
27,In-migration,Internal migration,Lugo,EM,0.756
28,Out-migration,International migration,Madrid,EM,0.547
28,Out-migration,Internal migration,Madrid,EM,0.7461
28,In-migration,International migration,Madrid,EM,0.6111
28,In-migration,Internal migration,Madrid,EM,0.6998
29,Out-migration,International migration,Málaga,EM,0.5493
29,Out-migration,Internal migration,Málaga,EM,0.713
29,In-migration,International migration,Málaga,EM,0.6501
29,In-migration,Internal migration,Málaga,EM,0.7622
30,Out-migration,International migration,Murcia,EM,0.5278
30,Out-migration,Internal migration,Murcia,EM,0.6714
30,In-migration,International migration,Murcia,EM,0.6035
30,In-migration,Internal migration,Murcia,EM,0.7069
31,Out-migration,International migration,Navarra,EM,0.5697
31,Out-migration,Internal migration,Navarra,EM,0.6917
31,In-migration,International migration,Navarra,EM,0.6052
31,In-migration,Internal migration,Navarra,EM,0.6864
32,Out-migration,International migration,Ourense,EM,0.47
