code_INE,move,type,name,source,value
19,In-migration,International migration,Guadalajara,EM,77.41673436
19,In-migration,Internal migration,Guadalajara,EM,37.84611289
20,Out-migration,International migration,Gipuzkoa,EM,69.34697856
20,Out-migration,Internal migration,Gipuzkoa,EM,36.85553854
20,In-migration,International migration,Gipuzkoa,EM,65.60790913
20,In-migration,Internal migration,Gipuzkoa,EM,49.50941915
21,Out-migration,International migration,Huelva,EM,193.5023041
21,Out-migration,Internal migration,Huelva,EM,25.58235415
21,In-migration,International migration,Huelva,EM,111.9982921
21,In-migration,Internal migration,Huelva,EM,23.07417337
22,Out-migration,International migration,Huesca,EM,88.50340136
22,Out-migration,Internal migration,Huesca,EM,41.42857143
22,In-migration,International migration,Huesca,EM,79.7322253
22,In-migration,Internal migration,Huesca,EM,27.04114958
23,Out-migration,International migration,Jaén,EM,119.3897638
23,Out-migration,Internal migration,Jaén,EM,21.87583983
23,In-migration,International migration,Jaén,EM,64.24845899
23,In-migration,Internal migration,Jaén,EM,20.27314651
24,Out-migration,International migration,León,EM,119.8248408
24,Out-migration,Internal migration,León,EM,30.49952875
24,In-migration,International migration,León,EM,82.62448133
24,In-migration,Internal migration,León,EM,22.88135593
25,Out-migration,International migration,Lleida,EM,72.80425364
25,Out-migration,Internal migration,Lleida,EM,36.68518519
25,In-migration,International migration,Lleida,EM,78.1398626
25,In-migration,Internal migration,Lleida,EM,35.87189703
26,Out-migration,International migration,La Rioja,EM,66.68292683
26,Out-migration,Internal migration,La Rioja,EM,43.27859727
26,In-migration,International migration,La Rioja,EM,71.00175747
26,In-migration,Internal migration,La Rioja,EM,35.56085919
27,Out-migration,International migration,Lugo,EM,96.80511182
27,Out-migration,Internal migration,Lugo,EM,34.88928785
27,In-migration,International migration,Lugo,EM,63.54279523
27,In-migration,Internal migration,Lugo,EM,32.28325256
28,Out-migration,International migration,Madrid,EM,82.82106874
28,Out-migration,Internal migration,Madrid,EM,34.03053435
28,In-migration,International migration,Madrid,EM,63.6330535
28,In-migration,Internal migration,Madrid,EM,42.90761999
29,Out-migration,International migration,Málaga,EM,82.0492826
29,Out-migration,Internal migration,Málaga,EM,40.24633593
29,In-migration,International migration,Málaga,EM,53.82826251
29,In-migration,Internal migration,Málaga,EM,31.19942641
30,Out-migration,International migration,Murcia,EM,89.46767751
30,Out-migration,Internal migration,Murcia,EM,48.93373642
30,In-migration,International migration,Murcia,EM,65.71309032
30,In-migration,Internal migration,Murcia,EM,41.45950281
31,Out-migration,International migration,Navarra,EM,75.5163611
31,Out-migration,Internal migration,Navarra,EM,44.56368754
31,In-migration,International migration,Navarra,EM,65.24390244
31,In-migration,Internal migration,Navarra,EM,45.6916863
32,Out-migration,International migration,Ourense,EM,112.7589967
32,Out-migration,Internal migration,Ourense,EM,41.16055322
32,In-migration,International migration,Ourense,EM,43.69513168
32,In-migration,Internal migration,Ourense,EM,35.44624746
33,Out-migration,International migration,Asturias,EM,76.87305626
33,Out-migration,Internal migration,Asturias,EM,39.69662278
33,In-migration,International migration,Asturias,EM,55.13635432
33,In-migration,Internal migration,Asturias,EM,29.91857105
34,Out-migration,International migration,Palencia,EM,51.58562368
34,Out-migration,Internal migration,Palencia,EM,33.31648129
34,In-migration,International migration,Palencia,EM,56.10795455
34,In-migration,Internal migration,Palencia,EM,27.55465175
35,Out-migration,International migration,Las Palmas,EM,104.2615637
35,Out-migration,Internal migration,Las Palmas,EM,36.54850234
35,In-migration,International migration,Las Palmas,EM,77.25502662
35,In-migration,Internal migration,Las Palmas,EM,39.99408226
36,Out-migration,International migration,Pontevedra,EM,116.0872781
